"","BANDFINAL","Species1","sp2","sp2.fct","Beak.LengthA","Beak.LengthB","Beak.LengthC","Beak.DepthA","Beak.DepthB","Beak.DepthC","Beak.WidthA","Beak.WidthB","Beak.WidthC","Tarsus","Wing.Chord","Mass","Year","By.","Site","Sex0","MedianBeakLength","MedianBeakWidth","MedianBeakDepth","avg.mbl","avg.mbw","avg.mbd","age","age.ad","y.2003","y.2004","y.2005","y.2006","y.2007","y.2008","y.2009","y.2010","y.2011","y.2012","y.2013","y.2014","y.2015","y.2016","y.2017","y.2018","y.2019","y.2020","ch","maxseen","ch.corr","maxseen.corr","X.corr.y.2003","X.corr.y.2004","X.corr.y.2005","X.corr.y.2006","X.corr.y.2007","X.corr.y.2008","X.corr.y.2009","X.corr.y.2010","X.corr.y.2011","X.corr.y.2012","X.corr.y.2013","X.corr.y.2014","X.corr.y.2015","X.corr.y.2016","X.corr.y.2017","X.corr.y.2018","X.corr.y.2019","X.corr.y.2020","date2","scaled.mbl","scaled.mbd","scaled.mbw","sp.mean.bl","sp.mean.bd","sp.sd.bl","sp.sd.bd","pc1.new","pc2.new","pc1.bod","pc2.bod","mxcpois"
"1","1973SK","fuliginosa","fuliginosa","fuliginosa", 8.820, 8.78, 8.910, 7.000, 7.370, 7.350, 7.290, 7.17, 7.31,20.32,62.00,14.50,2014,"DeLeonLF","El Garrapatero","f", 8.820, 7.290000, 7.350, 8.820000, 7.290000, 7.350000,"f","f",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,000000000001000000,1,000000000001000000, 1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014-01-21, 0.515341471, 0.677148355, 1.4291180174, 8.568677, 7.095934,0.4876822,0.3751992,-2.658965e-01,-7.286495e-02,-0.3159213923,-0.1429680450, 0
"2","2019SK","fuliginosa","fuliginosa","fuliginosa", 9.180, 9.18, 9.160, 7.320, 6.960, 7.150, 6.980, 7.02, 6.94,18.60,60.00,14.37,2015,"DeLeonLF","El Garrapatero","m", 9.180, 6.980000, 7.150, 9.180000, 6.980000, 7.150000,"m","m",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,000000000000100000,1,000000000000100000, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015-01-30, 1.253527181, 0.144098221, 0.4558950565, 8.568677, 7.095934,0.4876822,0.3751992,-2.730508e-01, 2.898000e-02,-0.4143656520, 0.0459894792, 0
"3","203","fortis","fortis large","fortis large",13.550,13.68,13.550,15.440,15.490,15.420,12.840,12.78,12.75,22.52,78.00,27.90,2009,"KoopJ","El Garrapatero","f",13.550,12.780000,15.440,13.760000,12.755000,14.885000,"f","adult",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,000000110000000000,2,000000110000000000, 2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2009-04-06, 1.131192280, 2.339308881, 2.2176583066,13.007307,12.886966,0.6653983,0.8541130, 5.308867e-01,-3.542455e-01, 0.7572780608,-0.1333251915, 1
"4","2059SK","fuliginosa","fuliginosa","fuliginosa", 8.760, 8.50, 8.680, 6.870, 6.530, 6.890, 6.820, 6.96, 6.82,18.00,65.00,14.05,2013,"RaeymaekersJ","El Garrapatero","m", 8.680, 6.820000, 6.870, 8.680000, 6.820000, 6.870000,"m","m",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000000010000000,1,000000000010000000, 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013-03-15, 0.228269250,-0.602171968,-0.0464135684, 8.568677, 7.095934,0.4876822,0.3751992,-3.129706e-01,-2.258941e-02,-0.2351917999,-0.6109897111, 0
"5","57649","fuliginosa","fuliginosa","fuliginosa", 8.500, 8.81, 8.710, 6.850, 6.790, 6.840, 6.810, 6.85, 6.80,17.05,60.00,14.17,2013,"ChavesJ","El Garrapatero","m", 8.710, 6.810000, 6.840, 8.710000, 6.810000, 6.840000,"m","m",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,000000000010000000,1,000000000010000000, 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013-03-28, 0.289784726,-0.682129488,-0.0778078575, 8.568677, 7.095934,0.4876822,0.3751992,-3.136305e-01,-1.375933e-02,-0.4354107466,-0.0118316146, 0
"6","632","fuliginosa","fuliginosa","fuliginosa", 8.450, 8.55, 8.630, 6.660, 6.960, 6.610, 6.370, 6.46, 6.41,19.43,60.00,13.30,2012,"DeLeonLF","El Garrapatero","f", 8.550, 6.410000, 6.660, 8.550000, 6.410000, 6.660000,"f","f",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,000000000100000000,1,000000000100000000, 1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012-03-15,-0.038297812,-1.161874609,-1.3335794199, 8.568677, 7.095934,0.4876822,0.3751992,-3.440175e-01,-4.365894e-04,-0.4407081557,-0.0889729356, 0
"7","633","fuliginosa","fuliginosa","fuliginosa", 8.150, 8.40, 8.120, 6.900, 7.010, 7.080, 6.420, 6.51, 6.43,18.86,59.20,12.00,2010,"DeLeonLF","El Garrapatero","f", 8.150, 6.430000, 7.010, 8.150000, 6.430000, 7.010000,"f","f",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,000000010000000000,1,000000010000000000, 1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010-01-21,-0.858504156,-0.229036874,-1.2707908418, 8.568677, 7.095934,0.4876822,0.3751992,-3.419624e-01,-1.064728e-01,-0.5188476132,-0.1870535701, 0
"8","645","fuliginosa","fuliginosa","fuliginosa", 8.640, 8.68, 8.760, 7.310, 6.990, 7.040, 6.470, 6.52, 6.50,18.89,63.00,16.50,2009,"KoopJ","El Garrapatero","f;j", 8.680, 6.500000, 7.040, 8.666667, 6.460000, 6.923333,"j","adult",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,000000100011000000,3,000000111111000000, 6,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2009-03-16, 0.200929039,-0.460025265,-1.1766079746, 8.568677, 7.095934,0.4876822,0.3751992,-3.166070e-01,-1.984130e-02,-0.2265209671,-0.0084616878, 5
"9","714SK","fuliginosa","fuliginosa","fuliginosa", 8.900, 8.97, 9.010, 7.470, 7.460, 7.630, 7.150, 6.98, 7.22,19.09,59.50,14.20,2004,"HuberS","El Garrapatero","m", 8.970, 7.150000, 7.470, 8.970000, 7.150000, 7.470000,"m","m",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010000000000000000,1,010000000000000000, 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-02-19, 0.822918850, 0.996978436, 0.9895979706, 8.568677, 7.095934,0.4876822,0.3751992,-2.592192e-01,-4.956367e-02,-0.4346721114, 0.0914329181, 0
"10","AH0001","fortis","fortis large","fortis large",13.690,13.64,13.890,11.510,11.430,11.420,12.270,12.36,12.61,22.89,75.00,26.30,2020,"EA","El Garrapatero","f",13.690,12.360000,11.430,13.690000,12.360000,11.430000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-07, 1.025992135,-1.705823396, 1.6389081045,13.007307,12.886966,0.6653983,0.8541130, 3.221561e-01, 8.607421e-02, 0.5926084590, 0.0084514569, 0
"11","AH0002","scandens","scandens","scandens",14.420,14.27,14.350, 8.300, 8.490, 8.410, 7.950, 7.86, 7.85,20.89,71.00,21.80,2020,"EA","El Garrapatero","f",14.350, 7.860000, 8.410,14.350000, 7.860000, 8.410000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-10, 0.114572518,-0.402872123,-0.8751538984,14.251929, 8.627551,0.8559749,0.5400007, 2.960014e-02, 7.680213e-01, 0.2738535704,-0.1837817094, 0
"12","AH0003","fuliginosa","fuliginosa","fuliginosa", 8.850, 8.83, 8.880, 7.050, 5.680, 6.870, 6.690, 6.65, 6.78,NA,NA,NA,2020,"EA","El Garrapatero","f", 8.850, 6.690000, 6.870, 8.850000, 6.690000, 6.870000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06, 0.576856947,-0.602171968,-0.4545393262, 8.568677, 7.095934,0.4876822,0.3751992,-3.110561e-01, 1.532524e-02,NA,NA, 0
"13","AH0005","fuliginosa","fuliginosa","fuliginosa", 9.530, 9.37, 9.110, 7.460, 7.710, 7.680, 7.260, 7.13, 7.11,20.55,65.00,15.60,2020,"PC","El Garrapatero","m", 9.370, 7.130000, 7.680, 9.370000, 7.130000, 7.680000,"m","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-06, 1.643125195, 1.556681077, 0.9268093924, 8.568677, 7.095934,0.4876822,0.3751992,-2.335507e-01, 1.976584e-03,-0.1615556021,-0.3437559145, 0
